Date,KOSPI,PortA,PortB
2015-05-12,2096.77,1107.54,1059.89
2015-05-13,2114.16,1110.49,1063.25
2015-05-14,2120.33,1107.39,1059.71
2015-05-15,2106.5,1094.13,1044.87
2015-05-16,2106.5,1087.19,1037.25
2015-05-17,2106.5,1097.83,1048.58
2015-05-18,2113.72,1098.28,1049.07
2015-05-19,2120.85,1101.01,1052.26
2015-05-20,2139.54,1106.02,1057.94
2015-05-21,2122.81,1104.71,1056.45
2015-05-22,2146.1,1106.04,1057.92
2015-05-23,2146.1,1109.7,1061.69
2015-05-24,2146.1,1109.64,1061.62
2015-05-25,2146.1,1111.5,1063.53
2015-05-26,2143.5,1115.31,1067.62
2015-05-27,2107.5,1115.72,1068.07
2015-05-28,2110.89,1114.96,1067.19
2015-05-29,2114.8,1113.78,1065.84
2015-05-30,2114.8,1116.73,1069.08
2015-05-31,2114.8,1116.09,1068.32
2015-06-01,2102.37,1110.17,1061.25
2015-06-02,2078.64,1111.68,1062.97
2015-06-03,2063.16,1107.09,1057.88
2015-06-04,2072.86,1111.29,1062.37
2015-06-05,2068.1,1113.83,1065.04
2015-06-06,2068.1,1113.99,1065.22
2015-06-07,2068.1,1109.98,1060.57
2015-06-08,2065.19,1118.14,1069.21
2015-06-09,2064.03,1119.41,1070.63
2015-06-10,2051.32,1120.4,1071.74
2015-06-11,2056.61,1123.98,1075.7
2015-06-12,2052.17,1124.06,1075.8
2015-06-13,2052.17,1126.08,1078.05
2015-06-14,2052.17,1133.3,1085.95
2015-06-15,2042.32,1131.45,1084.07
2015-06-16,2028.72,1130.3,1082.68
2015-06-17,2034.86,1132.3,1085.06
2015-06-18,2041.88,1132.59,1085.4
2015-06-19,2046.96,1136,1089.3
2015-06-20,2046.96,1137.87,1091.49
2015-06-21,2046.96,1133.48,1086.75
2015-06-22,2055.16,1133.83,1087.12
2015-06-23,2081.2,1129.87,1082.81
2015-06-24,2085.53,1127.08,1079.66
2015-06-25,2085.06,1129.15,1081.79
2015-06-26,2090.26,1125.26,1077.44
2015-06-27,2090.26,1117.47,1069
2015-06-28,2090.26,1121.89,1074.27
2015-06-29,2060.49,1120.44,1072.53
2015-06-30,2074.2,1125.85,1078.4
2015-07-01,2097.89,1132.37,1085.38
2015-07-02,2107.33,1136.82,1090.24
2015-07-03,2104.41,1135.33,1088.65
2015-07-04,2104.41,1136.74,1090.21
2015-07-05,2104.41,1137.05,1090.57
2015-07-06,2053.93,1131.31,1084.21
2015-07-07,2040.29,1130.53,1083.37
2015-07-08,2016.21,1135.46,1089.2
2015-07-09,2027.81,1135,1088.65
2015-07-10,2031.17,1126.46,1079.43
2015-07-11,2031.17,1128.58,1081.71
2015-07-12,2031.17,1120.83,1073.2
2015-07-13,2061.52,1121.63,1074.04
2015-07-14,2059.23,1126.99,1079.8
2015-07-15,2072.91,1124.29,1076.92
2015-07-16,2087.89,1121.2,1073.64
2015-07-17,2076.79,1117.26,1069.14
2015-07-18,2076.79,1114.47,1066.25
2015-07-19,2076.79,1106.49,1057.45
2015-07-20,2073.31,1105.78,1056.64
2015-07-21,2083.62,1103.49,1053.91
2015-07-22,2064.73,1113.06,1065.29
2015-07-23,2065.07,1113.42,1065.69
2015-07-24,2045.96,1110.17,1061.92
2015-07-25,2045.96,1115.89,1067.85
2015-07-26,2045.96,1118.88,1071.24
2015-07-27,2038.81,1118.6,1070.93
2015-07-28,2039.1,1120.83,1073.49
2015-07-29,2037.62,1123.76,1076.69
2015-07-30,2019.03,1126.16,1079.37
2015-07-31,2030.16,1124.1,1077.01
2015-08-01,2030.16,1121.28,1073.72
2015-08-02,2030.16,1123.7,1076.32
2015-08-03,2008.49,1123.99,1076.62
2015-08-04,2027.99,1122.21,1074.64
2015-08-05,2029.76,1118.8,1070.71
2015-08-06,2013.29,1112.19,1063.11
2015-08-07,2010.23,1114.38,1065.49
2015-08-08,2010.23,1112.31,1063.19
2015-08-09,2010.23,1117.42,1068.56
2015-08-10,2003.17,1122.44,1074.13
2015-08-11,1986.65,1120.87,1072.43
2015-08-12,1975.47,1120.77,1072.32
2015-08-13,1983.46,1118.68,1070.18
2015-08-14,1983.46,1112.98,1063.72
2015-08-15,1983.46,1112.35,1063.06
2015-08-16,1983.46,1113.34,1064.2
2015-08-17,1968.52,1108.67,1058.99
2015-08-18,1956.26,1108.04,1058.32
2015-08-19,1939.38,1110.19,1060.49
2015-08-20,1914.55,1107.35,1057.26
2015-08-21,1876.07,1102.67,1051.8
2015-08-22,1876.07,1101.23,1050.17
2015-08-23,1876.07,1099.46,1048.14
2015-08-24,1829.81,1094.46,1042.68
2015-08-25,1846.63,1097.28,1045.69
2015-08-26,1894.09,1098.25,1046.72
2015-08-27,1908,1092.13,1039.94
2015-08-28,1937.67,1083.26,1030.88
2015-08-29,1937.67,1085.85,1033.51
2015-08-30,1937.67,1089.43,1037.62
2015-08-31,1941.49,1093.25,1041.49
2015-09-01,1914.23,1085.4,1032.58
2015-09-02,1915.22,1087.57,1034.83
2015-09-03,1915.53,1082.43,1029.12
2015-09-04,1886.04,1086.35,1033.37
2015-09-05,1886.04,1087.56,1034.72
2015-09-06,1886.04,1094.17,1041.95
2015-09-07,1883.22,1094.78,1042.66
2015-09-08,1878.68,1087.42,1034.3
2015-09-09,1934.2,1087.5,1034.39
2015-09-10,1962.11,1086.15,1032.9
2015-09-11,1941.37,1094.39,1041.77
2015-09-12,1941.37,1093.6,1040.92
2015-09-13,1941.37,1093.67,1040.99
2015-09-14,1931.46,1096.49,1043.89
2015-09-15,1937.56,1092.42,1039.01
2015-09-16,1975.45,1094.93,1041.73
2015-09-17,1976.49,1092.53,1039.12
2015-09-18,1995.95,1095.84,1042.7
2015-09-19,1995.95,1095.98,1042.85
2015-09-20,1995.95,1097.46,1044.56
2015-09-21,1964.68,1099.11,1046.36
2015-09-22,1982.06,1095.4,1042.51
2015-09-23,1944.64,1090.36,1037.43
2015-09-24,1947.1,1090.74,1037.86
2015-09-25,1942.85,1090.74,1037.86
2015-09-26,1942.85,1093.25,1040.71
2015-09-27,1942.85,1089.08,1036.23
2015-09-28,1942.85,1084.88,1031.67
2015-09-29,1942.85,1086.46,1033.48
2015-09-30,1962.81,1088.77,1036.03
2015-10-01,1979.32,1083.17,1029.5
2015-10-02,1969.68,1081.48,1027.7
2015-10-03,1969.68,1078.65,1024.58
2015-10-04,1969.68,1080.69,1026.82
2015-10-05,1978.25,1085.16,1031.56
2015-10-06,1990.65,1085.29,1031.7
2015-10-07,2005.84,1088.25,1034.98
2015-10-08,2019.53,1089.5,1036.37
2015-10-09,2019.53,1091.96,1039.05
2015-10-10,2019.53,1092.63,1039.76
