Date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,38.599998,39.669998,38.509998,38.840000,37.726295,53424500
2019-08-01,38.310001,38.619999,37.680000,38.250000,37.500801,48980000
2019-08-02,38.250000,38.540001,37.750000,38.000000,37.255699,27660000
2019-08-05,37.759998,37.830002,36.410000,36.959999,36.236069,43671900
2019-08-06,37.189999,37.310001,36.470001,36.950001,36.226265,30347100
2019-08-07,36.650002,36.779999,35.860001,36.580002,35.863514,30376900
2019-08-08,36.700001,36.950001,36.599998,36.869999,36.147831,22159800
2019-08-09,36.770000,36.830002,36.110001,36.349998,35.638016,24090800
2019-08-12,36.310001,36.320000,34.779999,35.389999,34.696823,41117300
2019-08-13,35.430000,35.810001,35.150002,35.200001,34.510544,43215800
2019-08-14,34.930000,34.980000,34.200001,34.240002,33.569347,36654100
2019-08-15,34.299999,34.580002,33.970001,34.480000,33.804646,29140100
2019-08-16,34.720001,35.009998,34.490002,34.650002,33.971317,28474700
2019-08-19,34.880001,35.320000,34.830002,35.180000,34.490932,20870300
2019-08-20,35.099998,35.160000,34.570000,34.610001,33.932098,18911300
2019-08-21,34.939999,35.119999,34.820000,34.869999,34.187004,18224600
2019-08-22,34.959999,35.230000,34.799999,35.080002,34.392895,16065600
2019-08-23,35.209999,35.349998,34.169998,34.340000,33.667389,26342800
2019-08-26,34.619999,34.860001,34.480000,34.840000,34.157593,16573700
2019-08-27,35.009998,35.090000,34.310001,34.340000,33.667389,23449100
2019-08-28,34.360001,35.150002,34.279999,35.080002,34.392895,24713400
2019-08-29,35.790001,35.790001,35.230000,35.330002,34.638000,18605600
2019-08-30,35.619999,35.720001,35.279999,35.549999,34.853683,17906400
2019-09-03,35.610001,36.279999,35.509998,36.119999,35.412518,25260900
2019-09-04,36.299999,36.400002,35.700001,35.830002,35.128204,19591500
2019-09-05,36.110001,36.480000,35.889999,36.340000,35.628212,20964700
2019-09-06,36.360001,36.570000,36.110001,36.500000,35.785080,19804000
2019-09-09,36.590000,36.840000,36.130001,36.830002,36.108616,23411400
2019-09-10,36.590000,37.380001,36.020000,37.380001,36.647846,30598100
2019-09-11,37.740002,37.759998,36.900002,37.410000,36.677254,16094100
2019-09-12,37.570000,37.619999,37.060001,37.279999,36.549801,15837100
2019-09-13,37.389999,37.599998,36.610001,36.910000,36.187046,22864900
2019-09-16,36.459999,37.020000,36.349998,36.830002,36.108616,18858700
2019-09-17,36.790001,36.799999,36.349998,36.500000,35.785080,20960100
2019-09-18,36.570000,36.720001,36.259998,36.380001,35.667431,18671300
2019-09-19,36.419998,36.770000,36.340000,36.509998,35.794884,16837200
2019-09-20,36.889999,37.250000,36.480000,36.689999,35.971359,43634400
2019-09-23,36.380001,36.590000,36.230000,36.240002,35.530170,16409100
2019-09-24,36.270000,36.580002,35.980000,36.009998,35.304676,22947400
2019-09-25,35.910000,36.349998,35.700001,35.900002,35.196835,19231200
2019-09-26,36.070000,36.240002,35.570000,35.779999,35.079182,16185700
2019-09-27,35.860001,36.340000,35.720001,36.220001,35.510563,16682800
2019-09-30,36.279999,36.310001,35.919998,35.930000,35.226242,16323900
2019-10-01,35.930000,36.020000,35.430000,35.430000,34.736034,20885200
2019-10-02,35.259998,35.270000,34.660000,34.700001,34.020340,21307400
2019-10-03,34.709999,35.470001,34.599998,35.450001,34.755646,20945100
2019-10-04,35.490002,35.980000,35.450001,35.930000,35.226242,17139800
2019-10-07,35.820000,36.259998,35.799999,35.830002,35.128204,11156900
2019-10-08,35.650002,35.880001,35.419998,35.430000,34.736034,14005000
2019-10-09,35.650002,35.889999,35.529999,35.689999,34.990944,12935800
